"amount","denom","address"
"1_000_000__000_000","upenumbra","penumbrav1t1csgwv6zlsz3q8ux02ldve8tghy6l0cn8uwx9gcljvegjd3fs47tlzg2lq4k4qt9nrz3cwjgvdredvxm7xyj0htmfzzemetxrqfw0zvpyvn84pk5yau6wr8avceecn4xdq6u3ww"
"20_000","gm","penumbrav1t1csgwv6zlsz3q8ux02ldve8tghy6l0cn8uwx9gcljvegjd3fs47tlzg2lq4k4qt9nrz3cwjgvdredvxm7xyj0htmfzzemetxrqfw0zvpyvn84pk5yau6wr8avceecn4xdq6u3ww"
"20_000","gn","penumbrav1t1csgwv6zlsz3q8ux02ldve8tghy6l0cn8uwx9gcljvegjd3fs47tlzg2lq4k4qt9nrz3cwjgvdredvxm7xyj0htmfzzemetxrqfw0zvpyvn84pk5yau6wr8avceecn4xdq6u3ww"
"10_000","pizza","penumbrav1t1csgwv6zlsz3q8ux02ldve8tghy6l0cn8uwx9gcljvegjd3fs47tlzg2lq4k4qt9nrz3cwjgvdredvxm7xyj0htmfzzemetxrqfw0zvpyvn84pk5yau6wr8avceecn4xdq6u3ww"
"100","cube","penumbrav1t1csgwv6zlsz3q8ux02ldve8tghy6l0cn8uwx9gcljvegjd3fs47tlzg2lq4k4qt9nrz3cwjgvdredvxm7xyj0htmfzzemetxrqfw0zvpyvn84pk5yau6wr8avceecn4xdq6u3ww"
"1_000_000__000_000","upenumbra","penumbrav1t10j5vptlwdu3035qe5aeu33k0arj8nujepg5z8l0ntwznd7t3nz54g0m8hg9vzurk05l9gqq7fu6wpg9a9zmzdapjurqws0ymx28mhatqk82pfd8xxxcty5add52k2q8algqqlk"
"20_000","gm","penumbrav1t10j5vptlwdu3035qe5aeu33k0arj8nujepg5z8l0ntwznd7t3nz54g0m8hg9vzurk05l9gqq7fu6wpg9a9zmzdapjurqws0ymx28mhatqk82pfd8xxxcty5add52k2q8algqqlk"
"20_000","gn","penumbrav1t10j5vptlwdu3035qe5aeu33k0arj8nujepg5z8l0ntwznd7t3nz54g0m8hg9vzurk05l9gqq7fu6wpg9a9zmzdapjurqws0ymx28mhatqk82pfd8xxxcty5add52k2q8algqqlk"
"10_000","pizza","penumbrav1t10j5vptlwdu3035qe5aeu33k0arj8nujepg5z8l0ntwznd7t3nz54g0m8hg9vzurk05l9gqq7fu6wpg9a9zmzdapjurqws0ymx28mhatqk82pfd8xxxcty5add52k2q8algqqlk"
"100","cube","penumbrav1t10j5vptlwdu3035qe5aeu33k0arj8nujepg5z8l0ntwznd7t3nz54g0m8hg9vzurk05l9gqq7fu6wpg9a9zmzdapjurqws0ymx28mhatqk82pfd8xxxcty5add52k2q8algqqlk"
"1_000_000__000_000","upenumbra","penumbrav1t1j452a9e6ky0vycsj7ckfvy68vxgk43wsetllswldpx8slgvxsra284vx70rzjn280j3wljslvzm7q29jrc3yvu7vktsmjpx8nq3eu70fujaxsjxzew9fm0sp6xvfv6nt8gkhln"
"20_000","gm","penumbrav1t1j452a9e6ky0vycsj7ckfvy68vxgk43wsetllswldpx8slgvxsra284vx70rzjn280j3wljslvzm7q29jrc3yvu7vktsmjpx8nq3eu70fujaxsjxzew9fm0sp6xvfv6nt8gkhln"
"20_000","gn","penumbrav1t1j452a9e6ky0vycsj7ckfvy68vxgk43wsetllswldpx8slgvxsra284vx70rzjn280j3wljslvzm7q29jrc3yvu7vktsmjpx8nq3eu70fujaxsjxzew9fm0sp6xvfv6nt8gkhln"
"10_000","pizza","penumbrav1t1j452a9e6ky0vycsj7ckfvy68vxgk43wsetllswldpx8slgvxsra284vx70rzjn280j3wljslvzm7q29jrc3yvu7vktsmjpx8nq3eu70fujaxsjxzew9fm0sp6xvfv6nt8gkhln"
"100","cube","penumbrav1t1j452a9e6ky0vycsj7ckfvy68vxgk43wsetllswldpx8slgvxsra284vx70rzjn280j3wljslvzm7q29jrc3yvu7vktsmjpx8nq3eu70fujaxsjxzew9fm0sp6xvfv6nt8gkhln"
"1_000_000__000_000","upenumbra","penumbrav1t1mw8270qtpgjy628fg97p2px45e860jtlw0nl3w5y7vq67qx697py9t8ppp3mhwfxv8kegg8wuny64nf60z966krx85cqznjpshqtngffpwnywtzqjklkg3qh7anxk368ywac9l"
"20_000","gm","penumbrav1t1mw8270qtpgjy628fg97p2px45e860jtlw0nl3w5y7vq67qx697py9t8ppp3mhwfxv8kegg8wuny64nf60z966krx85cqznjpshqtngffpwnywtzqjklkg3qh7anxk368ywac9l"
"20_000","gn","penumbrav1t1mw8270qtpgjy628fg97p2px45e860jtlw0nl3w5y7vq67qx697py9t8ppp3mhwfxv8kegg8wuny64nf60z966krx85cqznjpshqtngffpwnywtzqjklkg3qh7anxk368ywac9l"
"10_000","pizza","penumbrav1t1mw8270qtpgjy628fg97p2px45e860jtlw0nl3w5y7vq67qx697py9t8ppp3mhwfxv8kegg8wuny64nf60z966krx85cqznjpshqtngffpwnywtzqjklkg3qh7anxk368ywac9l"
"100","cube","penumbrav1t1mw8270qtpgjy628fg97p2px45e860jtlw0nl3w5y7vq67qx697py9t8ppp3mhwfxv8kegg8wuny64nf60z966krx85cqznjpshqtngffpwnywtzqjklkg3qh7anxk368ywac9l"
