"amount","denom","address"
"10_000_000__000_000","upenumbra","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"10_000_000","gm","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"10_000_000","gn","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"10_000_000","pizza","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"100","cube","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"1_000_000","test_usd","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"200","test_btc","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"450_000","test_atom","penumbrav2t1xx7me5h63ah9fkncd9ult0r6ln4ntwkf57u3g0yax9h7qf465tlrmvpwq9eulr0gugqr3aqucgny2plm336am5pz0u2clpjeqjfd5hn4fxxlzya7zs69qlqqg6fm726jvx9d4g"
"10_000_000__000_000","upenumbra","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"200_000","gm","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"200_000","gn","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"100_000","pizza","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"1_000","cube","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
