amount,denom,address
1_000_000__000_000,upenumbra,penumbra1u3w40vzl9qhcptd4t7jqs285dqqx3dj6nqc3hmlvplsmpt30v83hxt29mes2g8wwnzhvaf0r9rywsv20nvzpz0rj0x0vr3mz0wf0xnpppr00tn9wm58ehrdyhjgc68va8zm3km
20_000,gm,penumbra1u3w40vzl9qhcptd4t7jqs285dqqx3dj6nqc3hmlvplsmpt30v83hxt29mes2g8wwnzhvaf0r9rywsv20nvzpz0rj0x0vr3mz0wf0xnpppr00tn9wm58ehrdyhjgc68va8zm3km
20_000,gn,penumbra1u3w40vzl9qhcptd4t7jqs285dqqx3dj6nqc3hmlvplsmpt30v83hxt29mes2g8wwnzhvaf0r9rywsv20nvzpz0rj0x0vr3mz0wf0xnpppr00tn9wm58ehrdyhjgc68va8zm3km
10_000,pizza,penumbra1u3w40vzl9qhcptd4t7jqs285dqqx3dj6nqc3hmlvplsmpt30v83hxt29mes2g8wwnzhvaf0r9rywsv20nvzpz0rj0x0vr3mz0wf0xnpppr00tn9wm58ehrdyhjgc68va8zm3km
100,cube,penumbra1u3w40vzl9qhcptd4t7jqs285dqqx3dj6nqc3hmlvplsmpt30v83hxt29mes2g8wwnzhvaf0r9rywsv20nvzpz0rj0x0vr3mz0wf0xnpppr00tn9wm58ehrdyhjgc68va8zm3km
500_000,test_usd,penumbra1u3w40vzl9qhcptd4t7jqs285dqqx3dj6nqc3hmlvplsmpt30v83hxt29mes2g8wwnzhvaf0r9rywsv20nvzpz0rj0x0vr3mz0wf0xnpppr00tn9wm58ehrdyhjgc68va8zm3km
1_000_000__000_000,upenumbra,penumbra1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvk6hcazp
20_000,gm,penumbra1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvk6hcazp
20_000,gn,penumbra1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvk6hcazp
10_000,pizza,penumbra1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvk6hcazp
100,cube,penumbra1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvk6hcazp
500_000,test_usd,penumbra1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvk6hcazp
1_000_000__000_000,upenumbra,penumbra1tj9s0dh8ymphnw2qgrva57wpcmpr38e9a8w05t5c8dyynr7dt58hgnare7tunqyuryc7yag084rqxrsrj9yx8uk9yhs8lmg64hl993wn3rphlvan3paxdd6suyhwnpkd6cwzes
20_000,gm,penumbra1tj9s0dh8ymphnw2qgrva57wpcmpr38e9a8w05t5c8dyynr7dt58hgnare7tunqyuryc7yag084rqxrsrj9yx8uk9yhs8lmg64hl993wn3rphlvan3paxdd6suyhwnpkd6cwzes
20_000,gn,penumbra1tj9s0dh8ymphnw2qgrva57wpcmpr38e9a8w05t5c8dyynr7dt58hgnare7tunqyuryc7yag084rqxrsrj9yx8uk9yhs8lmg64hl993wn3rphlvan3paxdd6suyhwnpkd6cwzes
10_000,pizza,penumbra1tj9s0dh8ymphnw2qgrva57wpcmpr38e9a8w05t5c8dyynr7dt58hgnare7tunqyuryc7yag084rqxrsrj9yx8uk9yhs8lmg64hl993wn3rphlvan3paxdd6suyhwnpkd6cwzes
100,cube,penumbra1tj9s0dh8ymphnw2qgrva57wpcmpr38e9a8w05t5c8dyynr7dt58hgnare7tunqyuryc7yag084rqxrsrj9yx8uk9yhs8lmg64hl993wn3rphlvan3paxdd6suyhwnpkd6cwzes
500_000,test_usd,penumbra1tj9s0dh8ymphnw2qgrva57wpcmpr38e9a8w05t5c8dyynr7dt58hgnare7tunqyuryc7yag084rqxrsrj9yx8uk9yhs8lmg64hl993wn3rphlvan3paxdd6suyhwnpkd6cwzes
1_000_000__000_000,upenumbra,penumbra1ad0r4fvwd6jq7k6p4ckk5ra6s4aychdd5sae0hyfcjy3j5g587q7zek7ums95uqqnhl2kzhes2tvw58r0v8zsvssj35hjh04zszvva0jvywpe3sdvzlq3zlz78wg3nr2wj0dfj
20_000,gm,penumbra1ad0r4fvwd6jq7k6p4ckk5ra6s4aychdd5sae0hyfcjy3j5g587q7zek7ums95uqqnhl2kzhes2tvw58r0v8zsvssj35hjh04zszvva0jvywpe3sdvzlq3zlz78wg3nr2wj0dfj
20_000,gn,penumbra1ad0r4fvwd6jq7k6p4ckk5ra6s4aychdd5sae0hyfcjy3j5g587q7zek7ums95uqqnhl2kzhes2tvw58r0v8zsvssj35hjh04zszvva0jvywpe3sdvzlq3zlz78wg3nr2wj0dfj
10_000,pizza,penumbra1ad0r4fvwd6jq7k6p4ckk5ra6s4aychdd5sae0hyfcjy3j5g587q7zek7ums95uqqnhl2kzhes2tvw58r0v8zsvssj35hjh04zszvva0jvywpe3sdvzlq3zlz78wg3nr2wj0dfj
100,cube,penumbra1ad0r4fvwd6jq7k6p4ckk5ra6s4aychdd5sae0hyfcjy3j5g587q7zek7ums95uqqnhl2kzhes2tvw58r0v8zsvssj35hjh04zszvva0jvywpe3sdvzlq3zlz78wg3nr2wj0dfj
500_000,test_usd,penumbra1ad0r4fvwd6jq7k6p4ckk5ra6s4aychdd5sae0hyfcjy3j5g587q7zek7ums95uqqnhl2kzhes2tvw58r0v8zsvssj35hjh04zszvva0jvywpe3sdvzlq3zlz78wg3nr2wj0dfj
1_000_000__000_000,upenumbra,penumbra1uw03wyt49u7wm5wgu4nvkdt0v48fdaw5y4az4xlgmnp6ucs6th4xd0zg8wqxwndwfv286ktjwgemyhrxqu0d5qjf8dapr57l3k8yqs09vw9m5ywxsx9hjj2dj4qwnrl2rzxdh9
20_000,gm,penumbra1uw03wyt49u7wm5wgu4nvkdt0v48fdaw5y4az4xlgmnp6ucs6th4xd0zg8wqxwndwfv286ktjwgemyhrxqu0d5qjf8dapr57l3k8yqs09vw9m5ywxsx9hjj2dj4qwnrl2rzxdh9
20_000,gn,penumbra1uw03wyt49u7wm5wgu4nvkdt0v48fdaw5y4az4xlgmnp6ucs6th4xd0zg8wqxwndwfv286ktjwgemyhrxqu0d5qjf8dapr57l3k8yqs09vw9m5ywxsx9hjj2dj4qwnrl2rzxdh9
10_000,pizza,penumbra1uw03wyt49u7wm5wgu4nvkdt0v48fdaw5y4az4xlgmnp6ucs6th4xd0zg8wqxwndwfv286ktjwgemyhrxqu0d5qjf8dapr57l3k8yqs09vw9m5ywxsx9hjj2dj4qwnrl2rzxdh9
100,cube,penumbra1uw03wyt49u7wm5wgu4nvkdt0v48fdaw5y4az4xlgmnp6ucs6th4xd0zg8wqxwndwfv286ktjwgemyhrxqu0d5qjf8dapr57l3k8yqs09vw9m5ywxsx9hjj2dj4qwnrl2rzxdh9
500_000,test_usd,penumbra1uw03wyt49u7wm5wgu4nvkdt0v48fdaw5y4az4xlgmnp6ucs6th4xd0zg8wqxwndwfv286ktjwgemyhrxqu0d5qjf8dapr57l3k8yqs09vw9m5ywxsx9hjj2dj4qwnrl2rzxdh9
1_000_000__000_000,upenumbra,penumbra100zd92fg6x27wc0mlu48cd6phq420u7ep59kzdalg2cq66mjkyl0xr54z0c64gectnj44mv5k2vyjjsz5gyd5gq33a6wnqzvgu2fz7namz7usazsl6p8wza83gcpwt8q76rc4y
20_000,gm,penumbra100zd92fg6x27wc0mlu48cd6phq420u7ep59kzdalg2cq66mjkyl0xr54z0c64gectnj44mv5k2vyjjsz5gyd5gq33a6wnqzvgu2fz7namz7usazsl6p8wza83gcpwt8q76rc4y
20_000,gn,penumbra100zd92fg6x27wc0mlu48cd6phq420u7ep59kzdalg2cq66mjkyl0xr54z0c64gectnj44mv5k2vyjjsz5gyd5gq33a6wnqzvgu2fz7namz7usazsl6p8wza83gcpwt8q76rc4y
10_000,pizza,penumbra100zd92fg6x27wc0mlu48cd6phq420u7ep59kzdalg2cq66mjkyl0xr54z0c64gectnj44mv5k2vyjjsz5gyd5gq33a6wnqzvgu2fz7namz7usazsl6p8wza83gcpwt8q76rc4y
100,cube,penumbra100zd92fg6x27wc0mlu48cd6phq420u7ep59kzdalg2cq66mjkyl0xr54z0c64gectnj44mv5k2vyjjsz5gyd5gq33a6wnqzvgu2fz7namz7usazsl6p8wza83gcpwt8q76rc4y
500_000,test_usd,penumbra100zd92fg6x27wc0mlu48cd6phq420u7ep59kzdalg2cq66mjkyl0xr54z0c64gectnj44mv5k2vyjjsz5gyd5gq33a6wnqzvgu2fz7namz7usazsl6p8wza83gcpwt8q76rc4y
1_000_000__000_000,upenumbra,penumbra1klvrvzuvfh4xejgvnfdwzh5rm3a7sr8768nzte72e90905r8ad7y7jrhe7ws9mpvpc02a76c4g3jehpvxwrylqxmwh5jalaxhhx4fqtwcdft54clg85wn7yzeqhg5y525kqkje
20_000,gm,penumbra1klvrvzuvfh4xejgvnfdwzh5rm3a7sr8768nzte72e90905r8ad7y7jrhe7ws9mpvpc02a76c4g3jehpvxwrylqxmwh5jalaxhhx4fqtwcdft54clg85wn7yzeqhg5y525kqkje
20_000,gn,penumbra1klvrvzuvfh4xejgvnfdwzh5rm3a7sr8768nzte72e90905r8ad7y7jrhe7ws9mpvpc02a76c4g3jehpvxwrylqxmwh5jalaxhhx4fqtwcdft54clg85wn7yzeqhg5y525kqkje
10_000,pizza,penumbra1klvrvzuvfh4xejgvnfdwzh5rm3a7sr8768nzte72e90905r8ad7y7jrhe7ws9mpvpc02a76c4g3jehpvxwrylqxmwh5jalaxhhx4fqtwcdft54clg85wn7yzeqhg5y525kqkje
100,cube,penumbra1klvrvzuvfh4xejgvnfdwzh5rm3a7sr8768nzte72e90905r8ad7y7jrhe7ws9mpvpc02a76c4g3jehpvxwrylqxmwh5jalaxhhx4fqtwcdft54clg85wn7yzeqhg5y525kqkje
